,moviename,year,description,genre,movielength,cast,imdb_rating,imdb_ratingbasedon,tomatoes_audscore,tomatoes_rating,tomatoes_ratingbasedon,rank
0,The Shawshank Redemption,1994,,,,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",,,,,,1
1,The Godfather,1972,,,,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",,,,,,2
2,The Godfather: Part II,1974,,,,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",,,,,,3
3,The Dark Knight,2008,,,,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",,,,,,4
4,12 Angry Men,1957,,,,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",,,,,,5
5,Schindler's List,1993,,,,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",,,,,,6
6,The Lord of the Rings: The Return of the King,2003,,,,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",,,,,,7
7,Pulp Fiction,1994,,,,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",,,,,,8
8,"Il buono, il brutto, il cattivo",1966,,,,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",,,,,,9
9,The Lord of the Rings: The Fellowship of the Ring,2001,,,,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",,,,,,10
10,Fight Club,1999,,,,"David Fincher (dir.), Brad Pitt, Edward Norton",,,,,,11
11,Forrest Gump,1994,,,,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",,,,,,12
12,Inception,2010,,,,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",,,,,,13
13,Star Wars: Episode V - The Empire Strikes Back,1980,,,,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",,,,,,14
14,The Lord of the Rings: The Two Towers,2002,,,,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",,,,,,15
15,The Matrix,1999,,,,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",,,,,,16
16,Goodfellas,1990,,,,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",,,,,,17
17,One Flew Over the Cuckoo's Nest,1975,,,,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",,,,,,18
18,Shichinin no samurai,1954,,,,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",,,,,,19
19,Se7en,1995,,,,"David Fincher (dir.), Morgan Freeman, Brad Pitt",,,,,,20
20,Cidade de Deus,2002,,,,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",,,,,,21
21,La vita è bella,1997,,,,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",,,,,,22
22,The Silence of the Lambs,1991,,,,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",,,,,,23
23,It's a Wonderful Life,1946,,,,"Frank Capra (dir.), James Stewart, Donna Reed",,,,,,24
24,Star Wars,1977,,,,"George Lucas (dir.), Mark Hamill, Harrison Ford",,,,,,25
25,Gisaengchung,2019,,,,"Bong Joon Ho (dir.), Kang-ho Song, Sun-kyun Lee",,,,,,26
26,Saving Private Ryan,1998,,,,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",,,,,,27
27,Sen to Chihiro no kamikakushi,2001,,,,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",,,,,,28
28,The Green Mile,1999,,,,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",,,,,,29
29,Interstellar,2014,,,,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",,,,,,30
30,Léon,1994,,,,"Luc Besson (dir.), Jean Reno, Gary Oldman",,,,,,31
31,The Usual Suspects,1995,,,,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",,,,,,32
32,Seppuku,1962,,,,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",,,,,,33
33,Joker,2019,,,,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",,,,,,34
34,The Lion King,1994,,,,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",,,,,,35
35,American History X,1998,,,,"Tony Kaye (dir.), Edward Norton, Edward Furlong",,,,,,36
36,Back to the Future,1985,,,,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",,,,,,37
37,Terminator 2: Judgment Day,1991,,,,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",,,,,,38
38,The Pianist,2002,,,,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",,,,,,39
39,Modern Times,1936,,,,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",,,,,,40
40,Psycho,1960,,,,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",,,,,,41
41,Gladiator,2000,,,,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",,,,,,42
42,City Lights,1931,,,,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",,,,,,43
43,The Intouchables,2011,,,,"Olivier Nakache (dir.), François Cluzet, Omar Sy",,,,,,44
44,The Departed,2006,,,,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",,,,,,45
45,Whiplash,2014,,,,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",,,,,,46
46,Once Upon a Time in the West,1968,,,,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",,,,,,47
47,The Prestige,2006,,,,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",,,,,,48
48,1917,2019,,,,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",,,,,,49
49,Casablanca,1942,,,,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",,,,,,50
50,Hotaru no haka,1988,,,,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",,,,,,51
51,Rear Window,1954,,,,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",,,,,,52
52,Nuovo Cinema Paradiso,1988,,,,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",,,,,,53
53,Alien,1979,,,,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",,,,,,54
54,Raiders of the Lost Ark,1981,,,,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",,,,,,55
55,Apocalypse Now,1979,,,,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",,,,,,56
56,Memento,2000,,,,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",,,,,,57
57,The Great Dictator,1940,,,,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",,,,,,58
58,The Lives of Others,2006,,,,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",,,,,,59
59,Django Unchained,2012,,,,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",,,,,,60
60,Avengers: Infinity War,2018,,,,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",,,,,,61
61,Avengers: Endgame,2019,,,,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",,,,,,62
62,The Shining,1980,,,,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",,,,,,63
63,Paths of Glory,1957,,,,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",,,,,,64
64,WALL·E,2008,,,,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",,,,,,65
65,Spider-Man: Into the Spider-Verse,2018,,,,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",,,,,,66
66,Sunset Blvd.,1950,,,,"Billy Wilder (dir.), William Holden, Gloria Swanson",,,,,,67
67,Mononoke-hime,1997,,,,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",,,,,,68
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,,,,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",,,,,,69
69,Oldeuboi,2003,,,,"Chan-wook Park (dir.), Min-sik Choi, Ji-Tae Yoo",,,,,,70
70,Witness for the Prosecution,1957,,,,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",,,,,,71
71,The Dark Knight Rises,2012,,,,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",,,,,,72
72,Once Upon a Time in America,1984,,,,"Sergio Leone (dir.), Robert De Niro, James Woods",,,,,,73
73,Aliens,1986,,,,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",,,,,,74
74,Kimi no na wa.,2016,,,,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",,,,,,75
75,American Beauty,1999,,,,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",,,,,,76
76,Coco,2017,,,,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",,,,,,77
77,Braveheart,1995,,,,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",,,,,,78
78,Das Boot,1981,,,,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",,,,,,79
79,Tengoku to jigoku,1963,,,,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",,,,,,80
80,3 Idiots,2009,,,,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",,,,,,81
81,Star Wars: Episode VI - Return of the Jedi,1983,,,,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",,,,,,82
82,Toy Story,1995,,,,"John Lasseter (dir.), Tom Hanks, Tim Allen",,,,,,83
83,Taare Zameen Par,2007,,,,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",,,,,,84
84,Amadeus,1984,,,,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",,,,,,85
85,Reservoir Dogs,1992,,,,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",,,,,,86
86,Inglourious Basterds,2009,,,,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",,,,,,87
87,Good Will Hunting,1997,,,,"Gus Van Sant (dir.), Robin Williams, Matt Damon",,,,,,88
88,2001: A Space Odyssey,1968,,,,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",,,,,,89
89,M - Eine Stadt sucht einen Mörder,1931,,,,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",,,,,,90
90,Requiem for a Dream,2000,,,,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",,,,,,91
91,Vertigo,1958,,,,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",,,,,,92
92,Dangal,2016,,,,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",,,,,,93
93,Eternal Sunshine of the Spotless Mind,2004,,,,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",,,,,,94
94,Citizen Kane,1941,,,,"Orson Welles (dir.), Orson Welles, Joseph Cotten",,,,,,95
95,Jagten,2012,,,,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",,,,,,96
96,Full Metal Jacket,1987,,,,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",,,,,,97
97,North by Northwest,1959,,,,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",,,,,,98
98,A Clockwork Orange,1971,,,,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",,,,,,99
99,Snatch,2000,,,,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",,,,,,100
100,The Kid,1921,,,,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",,,,,,101
101,Ladri di biciclette,1948,,,,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",,,,,,102
102,Singin' in the Rain,1952,,,,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",,,,,,103
103,Scarface,1983,,,,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",,,,,,104
104,Amélie,2001,,,,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",,,,,,105
105,Taxi Driver,1976,,,,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",,,,,,106
106,Lawrence of Arabia,1962,,,,"David Lean (dir.), Peter O'Toole, Alec Guinness",,,,,,107
107,Toy Story 3,2010,,,,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",,,,,,108
108,The Sting,1973,,,,"George Roy Hill (dir.), Paul Newman, Robert Redford",,,,,,109
109,Capharnaüm,2018,,,,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",,,,,,110
110,Metropolis,1927,,,,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",,,,,,111
111,Per qualche dollaro in più,1965,,,,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",,,,,,112
112,Jodaeiye Nader az Simin,2011,,,,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",,,,,,113
113,Ikiru,1952,,,,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",,,,,,114
114,Double Indemnity,1944,,,,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",,,,,,115
115,To Kill a Mockingbird,1962,,,,"Robert Mulligan (dir.), Gregory Peck, John Megna",,,,,,116
116,The Apartment,1960,,,,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",,,,,,117
117,Indiana Jones and the Last Crusade,1989,,,,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",,,,,,118
118,Incendies,2010,,,,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",,,,,,119
119,Up,2009,,,,"Pete Docter (dir.), Edward Asner, Jordan Nagai",,,,,,120
120,L.A. Confidential,1997,,,,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",,,,,,121
121,Monty Python and the Holy Grail,1975,,,,"Terry Gilliam (dir.), Graham Chapman, John Cleese",,,,,,122
122,Heat,1995,,,,"Michael Mann (dir.), Al Pacino, Robert De Niro",,,,,,123
123,Die Hard,1988,,,,"John McTiernan (dir.), Bruce Willis, Alan Rickman",,,,,,124
124,Rashômon,1950,,,,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",,,,,,125
125,Yôjinbô,1961,,,,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",,,,,,126
126,Batman Begins,2005,,,,"Christopher Nolan (dir.), Christian Bale, Michael Caine",,,,,,127
127,Unforgiven,1992,,,,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",,,,,,128
128,Green Book,2018,,,,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",,,,,,129
129,Der Untergang,2004,,,,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",,,,,,130
130,Bacheha-Ye aseman,1997,,,,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",,,,,,131
131,Some Like It Hot,1959,,,,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",,,,,,132
132,Hauru no ugoku shiro,2004,,,,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",,,,,,133
133,Idi i smotri,1985,,,,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",,,,,,134
134,The Great Escape,1963,,,,"John Sturges (dir.), Steve McQueen, James Garner",,,,,,135
135,Tonari no Totoro,1988,,,,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",,,,,,136
136,Ran,1985,,,,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",,,,,,137
137,All About Eve,1950,,,,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",,,,,,138
138,A Beautiful Mind,2001,,,,"Ron Howard (dir.), Russell Crowe, Ed Harris",,,,,,139
139,Casino,1995,,,,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",,,,,,140
140,Pan's Labyrinth,2006,,,,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",,,,,,141
141,Raging Bull,1980,,,,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",,,,,,142
142,El secreto de sus ojos,2009,,,,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",,,,,,143
143,"Lock, Stock and Two Smoking Barrels",1998,,,,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",,,,,,144
144,The Wolf of Wall Street,2013,,,,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",,,,,,145
145,The Treasure of the Sierra Madre,1948,,,,"John Huston (dir.), Humphrey Bogart, Walter Huston",,,,,,146
146,Judgment at Nuremberg,1961,,,,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",,,,,,147
147,"Three Billboards Outside Ebbing, Missouri",2017,,,,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",,,,,,148
148,Babam ve Oglum,2005,,,,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",,,,,,149
149,Chinatown,1974,,,,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",,,,,,150
150,There Will Be Blood,2007,,,,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",,,,,,151
151,The Gold Rush,1925,,,,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",,,,,,152
152,Dial M for Murder,1954,,,,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",,,,,,153
153,V for Vendetta,2005,,,,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",,,,,,154
154,Inside Out,2015,,,,"Pete Docter (dir.), Amy Poehler, Bill Hader",,,,,,155
155,Det sjunde inseglet,1957,,,,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",,,,,,156
156,Warrior,2011,,,,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",,,,,,157
157,Ford v. Ferrari,2019,,,,"James Mangold (dir.), Matt Damon, Christian Bale",,,,,,158
158,No Country for Old Men,2007,,,,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",,,,,,159
159,Trainspotting,1996,,,,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",,,,,,160
160,The Elephant Man,1980,,,,"David Lynch (dir.), Anthony Hopkins, John Hurt",,,,,,161
161,Shutter Island,2010,,,,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",,,,,,162
162,Room,2015,,,,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",,,,,,163
163,The Sixth Sense,1999,,,,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",,,,,,164
164,The Thing,1982,,,,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",,,,,,165
165,Gone with the Wind,1939,,,,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",,,,,,166
166,Blade Runner,1982,,,,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",,,,,,167
167,The Bridge on the River Kwai,1957,,,,"David Lean (dir.), William Holden, Alec Guinness",,,,,,168
168,Jurassic Park,1993,,,,"Steven Spielberg (dir.), Sam Neill, Laura Dern",,,,,,169
169,The Third Man,1949,,,,"Carol Reed (dir.), Orson Welles, Joseph Cotten",,,,,,170
170,On the Waterfront,1954,,,,"Elia Kazan (dir.), Marlon Brando, Karl Malden",,,,,,171
171,Finding Nemo,2003,,,,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",,,,,,172
172,Smultronstället,1957,,,,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",,,,,,173
173,Fargo,1996,,,,"Joel Coen (dir.), William H. Macy, Frances McDormand",,,,,,174
174,Gran Torino,2008,,,,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",,,,,,175
175,Kill Bill: Vol. 1,2003,,,,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",,,,,,176
176,Andhadhun,2018,,,,"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu",,,,,,177
177,The Deer Hunter,1978,,,,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",,,,,,178
178,Tôkyô monogatari,1953,,,,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",,,,,,179
179,Eskiya,1996,,,,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel",,,,,,180
180,Stalker,1979,,,,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy",,,,,,181
181,The Truman Show,1998,,,,"Peter Weir (dir.), Jim Carrey, Ed Harris",,,,,,182
182,Relatos salvajes,2014,,,,"Damián Szifron (dir.), Darío Grandinetti, María Marull",,,,,,183
183,Klaus,2019,,,,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",,,,,,184
184,The Big Lebowski,1998,,,,"Joel Coen (dir.), Jeff Bridges, John Goodman",,,,,,185
185,Mary and Max,2009,,,,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",,,,,,186
186,Salinui chueok,2003,,,,"Bong Joon Ho (dir.), Kang-ho Song, Sang-kyung Kim",,,,,,187
