,moviename,year,description,genre,movielength,cast,imdb_rating,imdb_ratingbasedon,tomatoes_audscore,tomatoes_rating,tomatoes_ratingbasedon,rank
187,In the Name of the Father,1993,,,,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",,,,,,188
188,Gone Girl,2014,,,,"David Fincher (dir.), Ben Affleck, Rosamund Pike",,,,,,189
189,Hacksaw Ridge,2016,,,,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",,,,,,190
190,Mr. Smith Goes to Washington,1939,,,,"Frank Capra (dir.), James Stewart, Jean Arthur",,,,,,191
191,The General,1926,,,,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",,,,,,192
192,How to Train Your Dragon,2010,,,,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",,,,,,193
193,The Grand Budapest Hotel,2014,,,,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",,,,,,194
194,Sherlock Jr.,1924,,,,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",,,,,,195
195,Before Sunrise,1995,,,,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",,,,,,196
196,Persona,1966,,,,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",,,,,,197
197,Catch Me If You Can,2002,,,,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",,,,,,198
198,Prisoners,2013,,,,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",,,,,,199
199,12 Years a Slave,2013,,,,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",,,,,,200
200,Cool Hand Luke,1967,,,,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",,,,,,201
201,Into the Wild,2007,,,,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",,,,,,202
202,Network,1976,,,,"Sidney Lumet (dir.), Faye Dunaway, William Holden",,,,,,203
203,Le salaire de la peur,1953,,,,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",,,,,,204
204,Stand by Me,1986,,,,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",,,,,,205
205,Life of Brian,1979,,,,"Terry Jones (dir.), Graham Chapman, John Cleese",,,,,,206
206,Mad Max: Fury Road,2015,,,,"George Miller (dir.), Tom Hardy, Charlize Theron",,,,,,207
207,Barry Lyndon,1975,,,,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",,,,,,208
208,Platoon,1986,,,,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",,,,,,209
209,Million Dollar Baby,2004,,,,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",,,,,,210
210,Hachi: A Dog's Tale,2009,,,,"Lasse Hallström (dir.), Richard Gere, Joan Allen",,,,,,211
211,La passion de Jeanne d'Arc,1928,,,,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",,,,,,212
212,Rush,2013,,,,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",,,,,,213
213,Logan,2017,,,,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",,,,,,214
214,Ben-Hur,1959,,,,"William Wyler (dir.), Charlton Heston, Jack Hawkins",,,,,,215
215,Rang De Basanti,2006,,,,"Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan",,,,,,216
216,Andrei Rublev,1966,,,,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov",,,,,,217
217,Kaze no tani no Naushika,1984,,,,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura",,,,,,218
218,Harry Potter and the Deathly Hallows: Part 2,2011,,,,"David Yates (dir.), Daniel Radcliffe, Emma Watson",,,,,,219
219,Les quatre cents coups,1959,,,,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",,,,,,220
220,Dead Poets Society,1989,,,,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",,,,,,221
221,Hotel Rwanda,2004,,,,"Terry George (dir.), Don Cheadle, Sophie Okonedo",,,,,,222
222,Amores perros,2000,,,,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",,,,,,223
223,Spotlight,2015,,,,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",,,,,,224
224,Rebecca,1940,,,,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",,,,,,225
225,Rocky,1976,,,,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",,,,,,226
226,The Red Shoes,1948,,,,"Michael Powell (dir.), Anton Walbrook, Marius Goring",,,,,,227
227,Ah-ga-ssi,2016,,,,"Chan-wook Park (dir.), Min-hee Kim, Jung-woo Ha",,,,,,228
228,"Monsters, Inc.",2001,,,,"Pete Docter (dir.), Billy Crystal, John Goodman",,,,,,229
229,Marriage Story,2019,,,,"Noah Baumbach (dir.), Adam Driver, Scarlett Johansson",,,,,,230
230,Ace in the Hole,1951,,,,"Billy Wilder (dir.), Kirk Douglas, Jan Sterling",,,,,,231
231,La haine,1995,,,,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",,,,,,232
232,It Happened One Night,1934,,,,"Frank Capra (dir.), Clark Gable, Claudette Colbert",,,,,,233
233,White Heat,1949,,,,"Raoul Walsh (dir.), James Cagney, Virginia Mayo",,,,,,234
234,The Princess Bride,1987,,,,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin",,,,,,235
235,Lagaan: Once Upon a Time in India,2001,,,,"Ashutosh Gowariker (dir.), Aamir Khan, Raghuvir Yadav",,,,,,236
236,Gangs of Wasseypur,2012,,,,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha",,,,,,237
237,Before Sunset,2004,,,,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",,,,,,238
238,Faa yeung nin wa,2000,,,,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung",,,,,,239
239,The Help,2011,,,,"Tate Taylor (dir.), Emma Stone, Viola Davis",,,,,,240
240,The Terminator,1984,,,,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",,,,,,241
241,Butch Cassidy and the Sundance Kid,1969,,,,"George Roy Hill (dir.), Paul Newman, Robert Redford",,,,,,242
242,"Paris, Texas",1984,,,,"Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski",,,,,,243
243,PK,2014,,,,"Rajkumar Hirani (dir.), Aamir Khan, Anushka Sharma",,,,,,244
244,Akira,1988,,,,"Katsuhiro Ôtomo (dir.), Mitsuo Iwata, Nozomu Sasaki",,,,,,245
245,Contratiempo,2016,,,,"Oriol Paulo (dir.), Mario Casas, Ana Wagener",,,,,,246
246,Aladdin,1992,,,,"Ron Clements (dir.), Scott Weinger, Robin Williams",,,,,,247
247,Tenkû no shiro Rapyuta,1986,,,,"Hayao Miyazaki (dir.), Anna Paquin, James Van Der Beek",,,,,,248
248,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,,,,"Hideaki Anno (dir.), Megumi Ogata, Megumi Hayashibara",,,,,,249
249,Song of the Sea,2014,,,,"Tomm Moore (dir.), David Rawle, Brendan Gleeson",,,,,,250
250,The Shawshank Redemption,1994,,,,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",,,,,,251
251,The Godfather,1972,,,,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",,,,,,252
252,The Godfather: Part II,1974,,,,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",,,,,,253
253,The Dark Knight,2008,,,,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",,,,,,254
254,12 Angry Men,1957,,,,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",,,,,,255
255,Schindler's List,1993,,,,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",,,,,,256
256,The Lord of the Rings: The Return of the King,2003,,,,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",,,,,,257
257,Pulp Fiction,1994,,,,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",,,,,,258
258,"Il buono, il brutto, il cattivo",1966,,,,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",,,,,,259
259,The Lord of the Rings: The Fellowship of the Ring,2001,,,,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",,,,,,260
260,Fight Club,1999,,,,"David Fincher (dir.), Brad Pitt, Edward Norton",,,,,,261
261,Forrest Gump,1994,,,,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",,,,,,262
262,Inception,2010,,,,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",,,,,,263
263,Star Wars: Episode V - The Empire Strikes Back,1980,,,,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",,,,,,264
264,The Lord of the Rings: The Two Towers,2002,,,,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",,,,,,265
265,The Matrix,1999,,,,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",,,,,,266
266,Goodfellas,1990,,,,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",,,,,,267
267,One Flew Over the Cuckoo's Nest,1975,,,,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",,,,,,268
268,Shichinin no samurai,1954,,,,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",,,,,,269
269,Se7en,1995,,,,"David Fincher (dir.), Morgan Freeman, Brad Pitt",,,,,,270
270,Cidade de Deus,2002,,,,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",,,,,,271
271,La vita è bella,1997,,,,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",,,,,,272
272,The Silence of the Lambs,1991,,,,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",,,,,,273
273,It's a Wonderful Life,1946,,,,"Frank Capra (dir.), James Stewart, Donna Reed",,,,,,274
274,Star Wars,1977,,,,"George Lucas (dir.), Mark Hamill, Harrison Ford",,,,,,275
275,Gisaengchung,2019,,,,"Bong Joon Ho (dir.), Kang-ho Song, Sun-kyun Lee",,,,,,276
276,Saving Private Ryan,1998,,,,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",,,,,,277
277,Sen to Chihiro no kamikakushi,2001,,,,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",,,,,,278
278,The Green Mile,1999,,,,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",,,,,,279
279,Interstellar,2014,,,,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",,,,,,280
280,Léon,1994,,,,"Luc Besson (dir.), Jean Reno, Gary Oldman",,,,,,281
281,The Usual Suspects,1995,,,,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",,,,,,282
282,Seppuku,1962,,,,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",,,,,,283
283,Joker,2019,,,,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",,,,,,284
284,The Lion King,1994,,,,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",,,,,,285
285,American History X,1998,,,,"Tony Kaye (dir.), Edward Norton, Edward Furlong",,,,,,286
286,Back to the Future,1985,,,,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",,,,,,287
287,Terminator 2: Judgment Day,1991,,,,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",,,,,,288
288,The Pianist,2002,,,,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",,,,,,289
289,Modern Times,1936,,,,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",,,,,,290
290,Psycho,1960,,,,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",,,,,,291
291,Gladiator,2000,,,,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",,,,,,292
292,City Lights,1931,,,,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",,,,,,293
293,The Intouchables,2011,,,,"Olivier Nakache (dir.), François Cluzet, Omar Sy",,,,,,294
294,The Departed,2006,,,,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",,,,,,295
295,Whiplash,2014,,,,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",,,,,,296
296,Once Upon a Time in the West,1968,,,,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",,,,,,297
297,The Prestige,2006,,,,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",,,,,,298
298,1917,2019,,,,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",,,,,,299
299,Casablanca,1942,,,,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",,,,,,300
300,Hotaru no haka,1988,,,,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",,,,,,301
301,Rear Window,1954,,,,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",,,,,,302
302,Nuovo Cinema Paradiso,1988,,,,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",,,,,,303
303,Alien,1979,,,,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",,,,,,304
304,Raiders of the Lost Ark,1981,,,,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",,,,,,305
305,Apocalypse Now,1979,,,,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",,,,,,306
306,Memento,2000,,,,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",,,,,,307
307,The Great Dictator,1940,,,,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",,,,,,308
308,The Lives of Others,2006,,,,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",,,,,,309
309,Django Unchained,2012,,,,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",,,,,,310
310,Avengers: Infinity War,2018,,,,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",,,,,,311
311,Avengers: Endgame,2019,,,,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",,,,,,312
312,The Shining,1980,,,,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",,,,,,313
313,Paths of Glory,1957,,,,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",,,,,,314
314,WALL·E,2008,,,,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",,,,,,315
315,Spider-Man: Into the Spider-Verse,2018,,,,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",,,,,,316
316,Sunset Blvd.,1950,,,,"Billy Wilder (dir.), William Holden, Gloria Swanson",,,,,,317
317,Mononoke-hime,1997,,,,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",,,,,,318
318,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,,,,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",,,,,,319
319,Oldeuboi,2003,,,,"Chan-wook Park (dir.), Min-sik Choi, Ji-Tae Yoo",,,,,,320
320,Witness for the Prosecution,1957,,,,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",,,,,,321
321,The Dark Knight Rises,2012,,,,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",,,,,,322
322,Once Upon a Time in America,1984,,,,"Sergio Leone (dir.), Robert De Niro, James Woods",,,,,,323
323,Aliens,1986,,,,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",,,,,,324
324,Kimi no na wa.,2016,,,,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",,,,,,325
325,American Beauty,1999,,,,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",,,,,,326
326,Coco,2017,,,,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",,,,,,327
327,Braveheart,1995,,,,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",,,,,,328
328,Das Boot,1981,,,,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",,,,,,329
329,Tengoku to jigoku,1963,,,,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",,,,,,330
330,3 Idiots,2009,,,,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",,,,,,331
331,Star Wars: Episode VI - Return of the Jedi,1983,,,,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",,,,,,332
332,Toy Story,1995,,,,"John Lasseter (dir.), Tom Hanks, Tim Allen",,,,,,333
333,Taare Zameen Par,2007,,,,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",,,,,,334
334,Amadeus,1984,,,,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",,,,,,335
335,Reservoir Dogs,1992,,,,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",,,,,,336
336,Inglourious Basterds,2009,,,,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",,,,,,337
337,Good Will Hunting,1997,,,,"Gus Van Sant (dir.), Robin Williams, Matt Damon",,,,,,338
338,2001: A Space Odyssey,1968,,,,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",,,,,,339
339,M - Eine Stadt sucht einen Mörder,1931,,,,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",,,,,,340
340,Requiem for a Dream,2000,,,,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",,,,,,341
341,Vertigo,1958,,,,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",,,,,,342
342,Dangal,2016,,,,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",,,,,,343
343,Eternal Sunshine of the Spotless Mind,2004,,,,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",,,,,,344
344,Citizen Kane,1941,,,,"Orson Welles (dir.), Orson Welles, Joseph Cotten",,,,,,345
345,Jagten,2012,,,,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",,,,,,346
346,Full Metal Jacket,1987,,,,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",,,,,,347
347,North by Northwest,1959,,,,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",,,,,,348
348,A Clockwork Orange,1971,,,,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",,,,,,349
349,Snatch,2000,,,,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",,,,,,350
350,The Kid,1921,,,,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",,,,,,351
351,Ladri di biciclette,1948,,,,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",,,,,,352
352,Singin' in the Rain,1952,,,,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",,,,,,353
353,Scarface,1983,,,,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",,,,,,354
354,Amélie,2001,,,,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",,,,,,355
355,Taxi Driver,1976,,,,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",,,,,,356
356,Lawrence of Arabia,1962,,,,"David Lean (dir.), Peter O'Toole, Alec Guinness",,,,,,357
357,Toy Story 3,2010,,,,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",,,,,,358
358,The Sting,1973,,,,"George Roy Hill (dir.), Paul Newman, Robert Redford",,,,,,359
359,Capharnaüm,2018,,,,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",,,,,,360
360,Metropolis,1927,,,,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",,,,,,361
361,Per qualche dollaro in più,1965,,,,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",,,,,,362
362,Jodaeiye Nader az Simin,2011,,,,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",,,,,,363
363,Ikiru,1952,,,,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",,,,,,364
364,Double Indemnity,1944,,,,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",,,,,,365
365,To Kill a Mockingbird,1962,,,,"Robert Mulligan (dir.), Gregory Peck, John Megna",,,,,,366
366,The Apartment,1960,,,,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",,,,,,367
367,Indiana Jones and the Last Crusade,1989,,,,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",,,,,,368
368,Incendies,2010,,,,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",,,,,,369
369,Up,2009,,,,"Pete Docter (dir.), Edward Asner, Jordan Nagai",,,,,,370
370,L.A. Confidential,1997,,,,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",,,,,,371
371,Monty Python and the Holy Grail,1975,,,,"Terry Gilliam (dir.), Graham Chapman, John Cleese",,,,,,372
372,Heat,1995,,,,"Michael Mann (dir.), Al Pacino, Robert De Niro",,,,,,373
